"GID","ENTRY.","DESIGNATION","PARENTS","ENTRYNO","PLOT","SOURCE","MATGP.","REP.","ROW","COLUMN","FLW","MATURITY","PLTHGT","TILLER","X14MC","PLOTYIELD","MISSHILL","CPY","GRNYLD.Y.ha.","BLAST","BB1","BPH","GLH","HARVESTDATE","OutlierCode"
2403712,"CR1009-SUB1","IR07F291","CR 1009*3/IR 49830-7-1-2-3","F3693",900,"F2166",2,2,16,26,103,133,102,17,10.7,5142,NA,NA,7063,NA,NA,NA,NA,"2013-04-29",2
2403712,"CR1009-SUB1","IR07F291","CR 1009*3/IR 49830-7-1-2-3","F3694",974,"F2166",2,2,19,49,102,132,120,15,11.3,7137,NA,NA,9737,NA,NA,NA,NA,"2013-04-29",2
2403712,"CR1009-SUB1","IR07F291","CR 1009*3/IR 49830-7-1-2-3","F3693",695,"F2166",2,1,8,31,104,134,116,18,12.8,5478,NA,NA,7347,3,1,7,9,"2013-04-29",2
2403712,"CR1009-SUB1","IR07F291","CR 1009*3/IR 49830-7-1-2-3","F3694",728,"F2166",2,1,10,48,104,134,107,13,13.6,7838,NA,NA,10416,3,1,NA,7,"2013-04-29",2
2348520,"IR08N210","IR 83325-66-2-1","IR 72875-94-3-3-2/IR02N463","B3332",416,"B2775",1,2,17,16,80,110,106,15,9.5,6226,1,6259,8712,NA,NA,NA,NA,NA,1
2348520,"IR08N210","IR 83325-66-2-1","IR 72875-94-3-3-2/IR02N463","B3332",247,"B2775",1,1,10,4,83,113,98,16,9.9,4545,NA,NA,6299,0,1,5,3,NA,1
2472008,"IR09N474","IR 84022-40-3-3-2","JANAKI/IR02N463//IRRI 123","B3582",573,"B3070",2,1,3,48,94,124,101,22,14,6856,2,6929,9166,3,1,5,3,"2013-04-15",1
2472008,"IR09N474","IR 84022-40-3-3-2","JANAKI/IR02N463//IRRI 123","B3582",757,"B3070",2,2,11,32,95,125,101,12,12.2,4719,5,4847,6546,NA,NA,NA,NA,"2013-04-15",1
2697231,"IR10A135","IR 85634-34-3-2-2","IR04A285/JANAKI","A3478",953,"A3007",2,2,19,28,89,119,107,16,11.6,7289,NA,NA,9911,NA,NA,NA,NA,"2013-04-12",2
2697231,"IR10A135","IR 85634-34-3-2-2","IR04A285/JANAKI","A3478",577,"A3007",2,1,4,49,88,118,110,20,12.1,4195,NA,NA,5672,3,1,5,5,"2013-04-12",2
2858743,"IR10A234","IR 85828-89-3-2-3-3","IR04A115/IR 72875-94-3-3-2//IRRI 135","A3486",889,"A2962",2,2,16,37,86,116,104,15,11.6,7293,NA,NA,9916,NA,NA,NA,NA,"2013-04-09",1
2858743,"IR10A234","IR 85828-89-3-2-3-3","IR04A115/IR 72875-94-3-3-2//IRRI 135","A3486",738,"A2962",2,1,10,38,85,115,109,14,9.8,5558,1,5588,7752,0,1,3,5,"2013-04-09",1
2754684,"IR10N205","IR 85145-14-2-3-3-2","IR 72906-32-1-3-3/IR 73712-68-3-1-2//IR 65450-173-2-1-1-3-3","B3354",340,"B3127",1,2,14,11,93,123,97,17,13.1,7526,4,7689,10277,NA,NA,NA,NA,"2013-04-15",1
2754684,"IR10N205","IR 85145-14-2-3-3-2","IR 72906-32-1-3-3/IR 73712-68-3-1-2//IR 65450-173-2-1-1-3-3","B3354",178,"B3127",1,1,8,23,92,122,99,17,13.6,5906,NA,NA,7848,0,1,7,5,"2013-04-15",1
2972722,"IR11A341","IR 87542-86-2-2-1","IR05A125/CIHERANG","A3506",762,"A3112",2,2,11,37,94,124,113,17,13.1,5854,NA,NA,7824,NA,NA,NA,NA,"2013-04-15",1
2972722,"IR11A341","IR 87542-86-2-2-1","IR05A125/CIHERANG","A3506",636,"A3112",2,1,6,40,94,124,111,14,13.8,7575,NA,NA,10043,3,1,7,5,"2013-04-15",1
