"Rep","SeedingRate","GrainYield","setVar","GrainYield_pred","GrainYield_resid"
"1","100",4.2,"1",4.36666666666667,-0.166666666666666
"1","125",4.8,"1",4.69166666666667,0.108333333333334
"1","150",3.3,"1",3.39166666666667,-0.0916666666666659
"1","25",5.1,"1",5.14166666666667,-0.0416666666666683
"1","50",5.3,"1",5.09166666666667,0.208333333333334
"1","75",5.3,"1",5.31666666666667,-0.0166666666666663
"2","100",4.8,"1",4.73333333333333,0.0666666666666664
"2","125",4.8,"1",5.05833333333333,-0.258333333333334
"2","150",3.5,"1",3.75833333333333,-0.258333333333334
"2","25",5.4,"1",5.50833333333333,-0.108333333333332
"2","50",6,"1",5.45833333333333,0.541666666666667
"2","75",5.7,"1",5.68333333333333,0.0166666666666667
"3","100",4,"1",4.33333333333333,-0.333333333333333
"3","125",4.4,"1",4.65833333333333,-0.258333333333333
"3","150",3.9,"1",3.35833333333333,0.541666666666667
"3","25",5.3,"1",5.10833333333333,0.191666666666667
"3","50",4.7,"1",5.05833333333333,-0.358333333333333
"3","75",5.5,"1",5.28333333333333,0.216666666666666
"4","100",4.4,"1",3.96666666666667,0.433333333333334
"4","125",4.7,"1",4.29166666666667,0.408333333333333
"4","150",2.8,"1",2.99166666666667,-0.191666666666667
"4","25",4.7,"1",4.74166666666667,-0.0416666666666662
"4","50",4.3,"1",4.69166666666667,-0.391666666666667
"4","75",4.7,"1",4.91666666666667,-0.216666666666667
